,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,TD,12:03,Jeffrey Phillips 48 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname XP no good),6,0
2,1,FG,1:40,28 yd FG by Alex Dasistwirklichseinnachname,9,0
4,2,TD,13:31,Saba Donut 6 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),9,7
5,2,TD,5:46,Hugh Mongo 12 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),16,7
6,2,FG,1:15,38 yd FG by J.J. Jay-Jaymison,16,10
8,3,TD,9:17,Baby Yoda 3 yd run. (J.J. Jay-Jaymison kick),16,17
9,3,TD,3:53,Tatsu Nakamura 2 yd run. (Alex Dasistwirklichseinnachname kick),23,17
10,3,TD,2:18,Tatsu Nakamura 1 yd run. (Alex Dasistwirklichseinnachname kick),30,17
12,4,FG,12:01,46 yd FG by Alex Dasistwirklichseinnachname,33,17
13,4,TD,3:01,Thomas Passman 3 yd pass from Jay Cue. (2pt conversion failed),33,23
