,Q,Score Type,Time Remaining,Play,AZ,BAL
1,1,FG,9:58,46 yd FG by Dean Jackson,3,0
2,1,FG,8:14,43 yd FG by Turk Turkleton,3,3
4,2,FG,12:08,35 yd FG by Dean Jackson,6,3
5,2,TD,6:43,Trey Willie 25 yd pass from Avon Blocksdale. (Turk Turkleton kick),6,10
7,3,TD,11:10,Charles Arthur Chess 6 yd pass from Kevin (R) Fitzpatrick. (Dean Jackson kick),13,10
8,3,TD,7:57,Owen Taylor 9 yd run. (Turk Turkleton kick),13,17
9,3,TD,1:59,Owen Taylor 2 yd run. (Turk Turkleton kick),13,24
11,4,FG,9:37,19 yd FG by Turk Turkleton,13,27
12,4,TD,5:23,Alexandre LeClair 6 yd pass from Avon Blocksdale. (Turk Turkleton kick),13,34
13,4,TD,0:31,Owen Taylor 5 yd run. (Turk Turkleton kick),13,41
