,Q,Score Type,Time Remaining,Play,NO,AZ
1,1,FG,10:48,28 yd FG by Herbert Prohaska (R),3,0
2,1,TD,5:23,Stan Francisco 8 yd run. (Herbert Prohaska (R) kick),10,0
4,2,TD,14:30,Ruff Ruff (R) 13 yd pass from Andrew Reese. (Alex Frost kick),10,7
5,2,TD,11:31,Vinny Valentine 35 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),17,7
6,2,TD,6:57,Jammerson Irving 3 yd pass from Andrew Reese. (Alex Frost kick),17,14
7,2,TD,2:09,Kazimir Oles 12 yd pass from Andrew Reese. (Alex Frost kick),17,21
9,3,TD,8:57,Brock Landers 12 yd pass from Andrew Reese. (Alex Frost kick),17,28
10,3,TD,2:58,Ruff Ruff (R) 6 yd run. (Alex Frost kick),17,35
12,4,TD,12:48,Raymond Vans 55 yd interception return. (Alex Frost kick),17,42
13,4,TD,8:10,Xerxes Ridley 50 yd interception return. (Herbert Prohaska (R) kick),24,42
