Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Nagheenanajar, S.",OCO,2,15,4,0,5,12
"Bolton, M.",OCO,0,0,4,0,5,12
"Gibbons, P.",OCO,0,0,4,0,5,12
"Lumburgh, B.",OCO,0,0,3,0,5,12
"Waddams, M.",OCO,0,0,3,0,5,12
"Adams, R.",OCO,0,0,1,0,5,12
"Grande, R.",NO,1,5,7,1,5,12
"Aguillera, C.",NO,1,5,1,0,5,12
"Halvorsen, T.",NO,1,15,0,0,5,12
"Kuusela, G.",NO,1,5,0,0,5,12
"Townsend, F.",NO,1,5,0,0,5,12
"Perry, K.",NO,0,0,8,0,5,12
"Carey, M.",NO,0,0,6,0,5,12
"Gomez, S.",NO,0,0,4,1,5,12
"Yobanna-Kanayochukwu, C.",NO,0,0,2,0,5,12
"DiMirio, P.",NO,0,0,1,2,5,12
