,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,TD,9:30,Heath Evans 4 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),7,0
2,1,FG,3:17,42 yd FG by J.J. Jay-Jaymison,10,0
3,1,FG,1:01,42 yd FG by Alex Dasistwirklichseinnachname,10,3
5,2,FG,0:17,53 yd FG by J.J. Jay-Jaymison,13,3
7,3,FG,12:09,46 yd FG by Alex Dasistwirklichseinnachname,13,6
8,3,FG,7:47,38 yd FG by J.J. Jay-Jaymison,16,6
9,3,TD,5:35,Future Trunks 30 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),16,13
10,3,FG,0:37,41 yd FG by J.J. Jay-Jaymison,19,13
11,3,TD,0:07,DB Jadakiss 27 yd interception return. (J.J. Jay-Jaymison kick),26,13
13,4,FG,13:34,38 yd FG by Alex Dasistwirklichseinnachname,26,16
14,4,FG,8:48,46 yd FG by Alex Dasistwirklichseinnachname,26,19
15,4,FG,1:10,26 yd FG by J.J. Jay-Jaymison,29,19
