,Q,Score Type,Time Remaining,Play,SAR,AUS
1,1,FG,6:30,40 yd FG by Jacob Small,3,0
2,1,FG,0:49,30 yd FG by Jacob Small,6,0
4,2,TD,11:29,None Videl-San (R) 9 yd pass from Easton Cole. (Alfredo Crisco kick),6,7
5,2,FG,1:59,43 yd FG by Jacob Small,9,7
6,2,FG,0:11,32 yd FG by Alfredo Crisco,9,10
8,3,TD,10:54,Running Back 5 yd run. (Jacob Small kick),16,10
9,3,FG,6:54,30 yd FG by Alfredo Crisco,16,13
11,4,FG,12:22,23 yd FG by Jacob Small,19,13
12,4,FG,7:26,25 yd FG by Jacob Small,22,13
13,4,FG,3:36,38 yd FG by Alfredo Crisco,22,16
