,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,TD,11:45,Josh Parker 12 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),7,0
2,1,TD,6:56,Marquise Brown 2 yd run. (Alex Frost kick),7,7
4,2,TD,12:44,Declan Harp 7 yd pass from Childish Gambino. (Alex Frost kick),7,14
5,2,TD,10:09,Josh Parker 23 yd pass from Cooter Bigsby. (Stephen Harris Jr XP no good),13,14
6,2,TD,7:17,Vinny Valentine 8 yd pass from Childish Gambino. (Alex Frost kick),13,21
7,2,FG,1:57,37 yd FG by Alex Frost,13,24
9,3,FG,10:30,22 yd FG by Alex Frost,13,27
10,3,FG,5:55,24 yd FG by Alex Frost,13,30
11,3,FG,2:43,43 yd FG by Stephen Harris Jr,16,30
12,3,FG,0:00,44 yd FG by Stephen Harris Jr,19,30
14,4,TD,9:02,Marquise Brown 1 yd run. (Alex Frost kick),19,37
15,4,TD,4:18,Errol Maddox 6 yd pass from Childish Gambino. (Alex Frost kick),19,44
16,4,TD,2:51,Tommy Helanen 14 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),26,44
