Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Selich, A.",SJS,9,0,1,0,0,0,0,0,0,0,0,0,10,1
"Hackett, A.",SJS,7,0,0,1,0,0,0,0,0,0,0,0,10,1
"Hardrool, C.",SJS,6,0,0,0,0,0,0,1,0,0,0,0,10,1
"Shoate, T.",SJS,6,0,0,1,0,0,0,0,0,0,0,0,10,1
"Canton, J.",SJS,4,0,0,0,0,0,0,0,0,0,0,0,10,1
"Miller, D.",SJS,4,0,0,0,0,0,0,0,0,0,0,0,10,1
"Cameron, J.",SJS,3,0,1,0,0,0,0,0,0,0,0,0,10,1
"Taylor, G.",SJS,3,0,0,0,0,0,0,0,0,0,0,0,10,1
"Brill, J.",SJS,2,0,0,0,0,0,0,0,0,0,0,0,10,1
"Oaks, J.",SJS,2,0,1,0,0,0,0,0,0,0,0,0,10,1
"Richter, Z.",SJS,2,0,0,0,0,0,0,0,0,0,0,0,10,1
"Stropko, B.",ARI,9,1,1,0,0,0,0,0,0,0,0,0,10,1
"Lee, J.",ARI,7,0,0,0,0,0,0,0,0,0,0,0,10,1
"Rashad, I.",ARI,7,0,0,1,0,0,0,0,0,0,0,0,10,1
"Ernston, H.",ARI,6,0,1,0,0,0,0,0,0,0,0,0,10,1
"Flock, R.",ARI,6,0,0,0,0,0,0,0,0,0,0,0,10,1
"Asipi, A.",ARI,5,0,1,0,0,0,0,0,0,0,0,0,10,1
"Jackson, M.",ARI,5,0,0,0,0,0,0,0,0,0,0,0,10,1
"Tuck, J.",ARI,3,0,0,0,0,0,0,0,0,0,0,0,10,1
"Williams, J.",ARI,3,0,0,0,0,0,0,0,0,0,0,0,10,1
"Dam, D.",ARI,2,0,0,0,0,0,0,0,0,0,0,0,10,1
"Blade, B.",ARI,1,0,0,0,0,0,0,0,0,0,0,0,10,1
"Bronko, K.",ARI,0,0,0,0,0,0,0,0,1,0,0,0,10,1
