Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Adams, R.",OCO,16,152,9.5,26,0,10,11
"Crush, C.",OCO,7,105,15,43,2,10,11
"Atwell, T.",OCO,7,83,11.9,32,0,10,11
"Zephyrous, S.",OCO,4,25,6.2,9,0,10,11
"Garden, J.",OCO,2,13,6.5,9,1,10,11
"Catchem5, Z.",OCO,2,12,6,8,0,10,11
"Broxton, J.",OCO,1,8,8,8,0,10,11
"Bush, C.",PHI,8,86,10.8,28,1,10,11
"von Matt, J.",PHI,4,48,12,28,0,10,11
"O'Sullivan, C.",PHI,3,39,13,15,0,10,11
"Hondo, A.",PHI,3,15,5,9,0,10,11
"Brown, M.",PHI,3,14,4.7,9,1,10,11
"Hasselhoff, F.",PHI,2,14,7,9,0,10,11
