Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Harris, F.",BAL,1,5,0,0,3,1
"Speed, D.",BAL,1,1,0,0,3,1
"Bigboy10, Z.",BAL,0,0,4,0,3,1
"Bigboy1, Z.",BAL,0,0,2,1,3,1
"Piper, W.",BAL,0,0,2,0,3,1
"Weal, J.",BAL,0,0,2,0,3,1
"Bigboy12, Z.",BAL,0,0,1,0,3,1
"Sharpei, V.",BAL,0,0,1,0,3,1
"Robinson, M.",BAL,0,0,0,1,3,1
"Draxel, V.",ARI,2,20,0,0,3,1
"Ernston, H.",ARI,2,20,0,0,3,1
"Durden, J.",ARI,1,15,1,0,3,1
"Jefferspin, S.",ARI,1,5,1,0,3,1
"Tkachuk, J.",ARI,1,10,1,0,3,1
"Dam, D.",ARI,1,5,0,0,3,1
"Flock, R.",ARI,1,15,0,0,3,1
"Jefferson, L.",ARI,1,10,0,0,3,1
"Rashad, I.",ARI,1,5,0,0,3,1
"Pest, T.",ARI,0,0,4,1,3,1
"Mackworthy, R.",ARI,0,0,3,1,3,1
"Thomas, A.",ARI,0,0,2,1,3,1
"Sharp, B.",ARI,0,0,1,1,3,1
"Bigboy4, Z.",ARI,0,0,1,0,3,1
