,Q,Score Type,Time Remaining,Play,BAL,CHI
1,1,FG,10:53,32 yd FG by Datsum PhastBawl (R),3,0
2,1,FG,7:36,45 yd FG by Sam Sidekick,3,3
3,1,TD,3:18,Nick Kaepercolin 27 yd pass from Chika Fujiwara. (Datsum PhastBawl (R) kick),10,3
4,1,FG,0:00,42 yd FG by Sam Sidekick,10,6
6,2,FG,7:49,32 yd FG by Sam Sidekick,10,9
7,2,FG,2:44,40 yd FG by Datsum PhastBawl (R),13,9
8,2,FG,0:11,52 yd FG by Sam Sidekick,13,12
10,3,TD,9:36,Luca Scabbia (R) 6 yd pass from George O'Donnell. (Sam Sidekick kick),13,19
11,3,TD,6:08,Bender B. Rodriguez 5 yd pass from George O'Donnell. (Sam Sidekick kick),13,26
12,3,TD,3:17,Mai Fukushu (R) 2 yd run. (Datsum PhastBawl (R) kick),20,26
14,4,FG,14:25,42 yd FG by Datsum PhastBawl (R),23,26
