Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Blocksdale Jr., A.",PHI,4,47,11.8,29,0,7,25
"Chambers, K.",PHI,3,89,29.7,59,0,7,25
"Vuxta, R.",PHI,3,68,22.7,36,1,7,25
"Torenson, S.",PHI,3,10,3.3,5,0,7,25
"Arrabiata, D.",PHI,1,15,15,15,0,7,25
"Dotson, F.",PHI,1,10,10,10,0,7,25
"O'Leary, S.",CHI,5,51,10.2,15,0,7,25
"Rodriguez, B.",CHI,3,33,11,15,0,7,25
"Scabbia, L.",CHI,3,30,10,10,0,7,25
"Tirtawidjaja, J.",CHI,3,15,5,9,0,7,25
"Oberwald, G.",CHI,1,11,11,11,0,7,25
"Yoda, B.",CHI,1,6,6,6,0,7,25
"Gelbman, T.",CHI,1,5,5,5,0,7,25
